Number_of_announcements,Number_of_announced_NLRI_prefixes,Maximum_AS_path_length,Average_edit_distance,Maximum_edit_distance,Number_of_Interior_Gateway_Protocol_IGP_packets,Number_of_incomplete_packets,Labels
279,757,14,14,4.7,261,18,Slammer
291,737,16,16,4.9,276,15,Slammer
304,654,19,19,5.2,283,21,Slammer
365,958,16,16,6.1,335,30,Slammer
280,722,15,15,4.7,263,15,Slammer
241,763,14,14,4.1,220,19,Slammer
297,938,17,17,5,276,21,Slammer
258,904,18,18,4.4,246,12,Slammer
263,879,17,17,4.4,245,16,Slammer
387,949,19,19,6.5,363,22,Slammer
229,598,16,16,3.9,199,30,Slammer
277,775,15,15,4.7,256,21,Slammer
315,722,14,14,5.3,290,23,Slammer
375,853,13,13,6.3,345,29,Slammer
599,1623,15,15,10,564,34,Slammer
388,1586,17,17,6.5,357,31,Slammer
337,1431,18,18,5.7,320,17,Slammer
339,849,19,19,5.7,320,19,Slammer
442,1102,16,16,7.4,413,29,Slammer
326,735,17,17,5.5,305,21,Slammer
371,866,18,18,6.3,346,25,Slammer
416,1264,15,15,7,387,29,Slammer
384,1013,16,16,6.5,357,27,Slammer
308,1081,14,14,5.2,285,23,Slammer
322,1314,18,18,5.4,301,21,Slammer
209,697,18,18,3.5,192,17,Slammer
361,1156,19,19,6.1,334,21,Slammer
347,875,14,14,5.9,319,28,Slammer
308,846,13,13,5.2,291,15,Slammer
339,1119,20,20,5.7,307,24,Slammer
241,522,14,14,4.1,234,7,Slammer
309,1082,15,15,5.2,296,13,Slammer
293,805,17,17,4.9,270,23,Slammer
286,692,17,17,4.8,272,14,Slammer
374,1016,19,19,6.3,350,13,Slammer
322,819,14,14,5.4,302,15,Slammer
300,795,15,15,5.1,270,21,Slammer
268,874,14,14,4.5,248,18,Slammer
278,761,15,15,4.7,259,9,Slammer
396,1095,16,16,6.7,375,21,Slammer
235,875,17,17,4,227,8,Slammer
336,1034,20,20,5.7,302,30,Slammer
237,599,13,13,4,215,19,Slammer
466,1068,14,14,7.8,433,29,Slammer
468,1041,15,15,7.8,434,30,Slammer
309,712,17,17,5.2,283,22,Slammer
277,681,19,19,4.7,261,10,Slammer
312,1014,17,17,5.3,296,12,Slammer
355,1374,17,17,6,342,13,Slammer
292,1027,17,17,4.9,269,23,Slammer
281,910,14,14,4.7,262,18,Slammer
283,890,14,14,4.8,273,10,Slammer
344,902,14,14,5.8,329,15,Slammer
285,749,15,15,4.8,254,31,Slammer
371,1399,15,15,6.3,326,35,Slammer
268,1069,15,15,4.6,243,25,Slammer
259,736,13,13,4.4,226,33,Slammer
218,543,12,12,3.7,184,34,Slammer
299,758,14,14,5.1,262,37,Slammer
398,815,11,11,6.7,364,34,Slammer
260,609,16,16,4.4,235,25,Slammer
211,514,16,16,3.6,181,27,Slammer
394,1448,19,19,6.6,362,32,Slammer
257,1037,16,16,4.3,237,20,Slammer
425,1372,21,21,7.1,387,30,Slammer
392,1063,15,15,6.6,359,28,Slammer
267,583,16,16,4.5,249,17,Slammer
261,617,16,16,4.4,239,19,Slammer
395,1028,14,14,6.7,368,26,Slammer
398,1913,18,18,6.7,375,23,Slammer
349,1284,15,15,5.9,315,34,Slammer
303,660,13,13,5.1,288,15,Slammer
313,1159,14,14,5.3,291,22,Slammer
266,864,15,15,4.5,241,25,Slammer
403,1397,14,14,6.8,375,28,Slammer
435,1852,19,19,7.3,403,32,Slammer
305,818,16,16,5.1,277,28,Slammer
211,519,14,14,3.6,195,16,Slammer
263,816,15,15,4.5,242,21,Slammer
269,640,16,16,4.5,248,21,Slammer
169,410,13,13,2.9,157,12,Slammer
244,608,13,13,4.1,218,26,Slammer
284,849,12,12,4.8,267,17,Slammer
219,565,13,13,3.7,211,8,Slammer
296,809,14,14,5,287,9,Slammer
423,1427,21,21,7.1,401,22,Slammer
289,926,21,21,4.9,280,9,Slammer
231,565,20,20,3.9,213,18,Slammer
321,985,14,14,5.4,293,28,Slammer
188,427,13,13,3.2,174,14,Slammer
257,666,14,14,4.4,226,31,Slammer
224,553,16,16,3.8,210,14,Slammer
336,727,15,15,5.7,301,35,Slammer
302,783,16,16,5.1,266,36,Slammer
244,619,17,17,4.1,230,14,Slammer
201,495,15,15,3.4,181,20,Slammer
345,870,16,16,5.8,299,46,Slammer
223,512,15,15,3.8,201,21,Slammer
247,541,17,17,4.2,223,24,Slammer
310,807,17,17,5.2,283,27,Slammer
221,696,15,15,3.8,202,19,Slammer
368,817,15,15,6.2,352,16,Slammer
231,496,17,17,3.9,217,14,Slammer
282,765,17,17,4.8,254,28,Slammer
284,857,15,15,4.8,261,23,Slammer
293,853,15,15,4.9,260,33,Slammer
266,915,12,12,4.5,246,20,Slammer
244,692,15,15,4.1,222,22,Slammer
291,861,12,12,4.9,262,29,Slammer
327,840,13,13,5.5,290,37,Slammer
362,757,14,14,6.1,332,28,Slammer
401,898,13,13,6.8,370,29,Slammer
255,753,14,14,4.3,247,8,Slammer
258,1081,17,17,4.4,240,18,Slammer
314,1092,14,14,5.3,290,21,Slammer
404,1555,13,13,6.8,384,14,Slammer
323,1278,14,14,5.5,298,25,Slammer
258,1048,13,13,4.4,237,21,Slammer
257,663,17,17,4.3,231,26,Slammer
284,949,16,16,4.8,261,23,Slammer
241,1192,17,17,4.1,216,25,Slammer
238,665,17,17,4,217,21,Slammer
300,813,17,17,5.1,265,35,Slammer
418,1238,13,13,7,380,38,Slammer
342,1051,17,17,5.8,315,27,Slammer
332,1034,15,15,5.6,311,21,Slammer
249,582,15,15,4.2,222,27,Slammer
153,418,15,15,2.6,139,14,Slammer
220,732,13,13,3.7,200,20,Slammer
223,605,17,17,3.8,203,20,Slammer
196,552,15,15,3.3,177,19,Slammer
259,645,15,15,4.4,238,21,Slammer
253,757,13,13,4.3,223,30,Slammer
242,599,12,12,4.1,220,22,Slammer
207,564,18,18,3.5,190,17,Slammer
158,410,19,19,2.7,138,20,Slammer
216,713,16,16,3.7,196,20,Slammer
217,485,15,15,3.7,197,20,Slammer
279,798,17,17,4.7,256,23,Slammer
407,1486,14,14,6.9,377,30,Slammer
255,636,16,16,4.3,221,33,Slammer
348,877,15,15,5.9,316,32,Slammer
378,999,14,14,6.4,339,39,Slammer
151,377,13,13,2.6,140,11,Slammer
198,569,13,13,3.4,188,10,Slammer
194,578,17,17,3.3,177,16,Slammer
202,467,15,15,3.4,185,17,Slammer
359,1044,20,20,6.1,331,28,Slammer
270,744,21,21,4.6,246,24,Slammer
222,606,12,12,3.8,205,17,Slammer
180,453,13,13,3.1,164,16,Slammer
175,428,11,11,3,156,19,Slammer
233,813,12,12,3.9,213,20,Slammer
260,680,18,18,4.4,235,25,Slammer
260,673,13,13,4.4,235,25,Slammer
180,620,11,11,3.1,165,15,Slammer
213,987,13,13,3.6,198,15,Slammer
168,559,18,18,2.9,147,21,Slammer
244,691,14,14,4.1,219,24,Slammer
293,686,16,16,4.9,267,25,Slammer
249,842,13,13,4.2,223,26,Slammer
215,586,16,16,3.7,193,22,Slammer
197,520,20,20,3.3,175,22,Slammer
190,716,17,17,3.2,177,13,Slammer
205,467,12,12,3.5,173,32,Slammer
155,621,13,13,2.6,140,15,Slammer
189,462,23,23,3.2,177,12,Slammer
209,468,24,24,3.6,195,13,Slammer
183,439,13,13,3.1,158,25,Slammer
199,423,13,13,3.4,182,17,Slammer
216,778,17,17,3.7,185,31,Slammer
174,597,17,17,300,149,25,Slammer
170,447,17,17,2.9,154,16,Slammer
151,364,17,17,2.6,131,20,Slammer
232,599,12,12,3.9,202,30,Slammer
325,717,23,23,5.5,293,32,Slammer
154,399,17,17,2.6,138,16,Slammer
154,398,19,19,2.6,135,19,Slammer
197,591,17,17,3.3,172,25,Slammer
168,470,17,17,2.9,138,30,Slammer
203,592,12,12,3.5,170,33,Slammer
191,499,12,12,3.3,172,19,Slammer
140,440,17,17,2.4,121,19,Slammer
264,917,17,17,4.5,242,22,Slammer
210,574,13,13,3.5,192,18,Slammer
203,652,12,12,3.4,190,11,Slammer
238,737,12,12,4.1,210,24,Slammer
180,537,17,17,3.1,158,22,Slammer
212,588,12,12,3.6,193,19,Slammer
169,448,10,10,2.9,141,27,Slammer
293,701,19,19,500,261,30,Slammer
180,436,17,17,3.1,168,12,Slammer
203,494,17,17,3.5,184,19,Slammer
202,616,14,14,3.4,179,23,Slammer
206,464,13,13,3.5,184,22,Slammer
176,455,14,14,3,151,25,Slammer
148,497,14,14,2.5,137,11,Slammer
217,633,17,17,3.7,186,31,Slammer
187,475,13,13,3.2,166,21,Slammer
145,329,21,21,2.5,132,13,Slammer
167,392,19,19,2.8,140,27,Slammer
167,394,15,15,2.8,151,16,Slammer
253,996,15,15,4.3,226,23,Slammer
305,833,17,17,5.2,276,29,Slammer
289,713,17,17,4.9,251,38,Slammer
229,978,16,16,3.9,206,23,Slammer
262,945,16,16,4.4,236,26,Slammer
215,501,17,17,3.6,193,22,Slammer
213,545,14,14,3.6,193,20,Slammer
209,462,17,17,3.6,187,22,Slammer
165,330,14,14,2.8,141,24,Slammer
216,490,12,12,3.7,198,18,Slammer
164,381,13,13,2.8,150,14,Slammer
121,340,14,14,2.1,109,12,Slammer
160,339,13,13,2.7,140,20,Slammer
152,419,16,16,2.6,139,13,Slammer
183,412,16,16,3.1,162,21,Slammer
124,279,13,13,2.1,113,11,Slammer
144,381,10,10,2.5,127,17,Slammer
156,391,13,13,2.7,138,18,Slammer
132,325,12,12,2.3,113,19,Slammer
210,547,12,12,3.6,197,13,Slammer
151,420,17,17,2.6,129,22,Slammer
164,518,14,14,2.8,139,25,Slammer
197,527,20,20,3.4,177,20,Slammer
167,391,19,19,2.8,148,19,Slammer
205,632,19,19,3.5,195,10,Slammer
167,438,14,14,2.9,157,10,Slammer
199,473,17,17,3.4,187,12,Slammer
137,323,13,13,2.3,125,12,Slammer
200,422,17,17,3.4,181,19,Slammer
168,412,17,17,2.9,145,23,Slammer
201,475,13,13,3.4,184,17,Slammer
208,552,16,16,3.6,196,12,Slammer
206,583,15,15,3.5,183,23,Slammer
205,548,16,16,3.5,183,22,Slammer
276,737,15,15,4.7,253,23,Slammer
198,573,16,16,3.4,179,19,Slammer
160,424,11,11,2.7,140,20,Slammer
216,547,18,18,3.7,191,25,Slammer
210,568,17,17,3.6,186,24,Slammer
249,662,13,13,4.2,212,37,Slammer
229,692,17,17,3.9,199,30,Slammer
180,671,12,12,3.1,159,21,Slammer
195,743,13,13,3.3,175,20,Slammer
176,381,11,11,3,159,17,Slammer
184,613,14,14,3.2,159,25,Slammer
207,767,12,12,3.5,190,17,Slammer
171,456,12,12,2.9,149,22,Slammer
190,595,16,16,3.2,158,32,Slammer
156,367,12,12,2.7,134,22,Slammer
136,321,12,12,2.3,119,17,Slammer
135,558,13,13,2.3,126,9,Slammer
210,855,17,17,3.6,187,23,Slammer
212,611,17,17,3.6,183,29,Slammer
140,401,17,17,2.4,125,15,Slammer
169,657,14,14,2.9,148,21,Slammer
216,815,12,12,3.7,193,23,Slammer
123,426,9,9,2.1,106,17,Slammer
123,382,15,15,2.1,117,6,Slammer
151,386,16,16,2.6,145,6,Slammer
193,460,16,16,3.3,177,16,Slammer
276,848,17,17,4.7,251,25,Slammer
183,726,17,17,3.1,167,16,Slammer
160,450,12,12,2.7,149,11,Slammer
213,557,14,14,3.6,190,23,Slammer
150,491,18,18,2.6,130,20,Slammer
139,396,15,15,2.4,117,22,Slammer
137,445,14,14,2.4,124,13,Slammer
144,420,12,12,2.5,135,9,Slammer
186,415,12,12,3.2,180,6,Slammer
151,335,12,12,2.6,141,10,Slammer
142,302,15,15,2.4,122,20,Slammer
176,464,21,21,3,159,17,Slammer
153,534,14,14,2.6,143,10,Slammer
162,565,12,12,2.8,151,11,Slammer
166,403,13,13,2.8,153,13,Slammer
236,679,14,14,4,217,19,Slammer
144,394,12,12,2.5,129,15,Slammer
168,446,15,15,2.9,155,13,Slammer
155,328,17,17,2.6,149,6,Slammer
129,290,12,12,2.2,117,12,Slammer
172,411,17,17,2.9,159,13,Slammer
218,687,17,17,3.7,192,26,Slammer
138,389,13,13,2.4,127,11,Slammer
164,467,21,21,2.8,154,10,Slammer
188,471,17,17,3.2,173,15,Slammer
171,798,16,16,2.9,159,12,Slammer
198,496,17,17,3.4,182,16,Slammer
223,826,18,18,3.8,207,16,Slammer
222,886,18,18,3.8,205,17,Slammer
157,375,12,12,2.7,142,15,Slammer
156,466,13,13,2.7,144,12,Slammer
138,373,14,14,2.4,132,6,Slammer
161,455,14,14,2.7,146,15,Slammer
156,674,12,12,2.7,136,20,Slammer
234,768,14,14,4,209,25,Slammer
148,402,17,17,2.5,132,16,Slammer
102,237,16,16,1.8,94,8,Slammer
122,334,16,16,2.1,114,8,Slammer
162,398,17,17,2.8,151,11,Slammer
165,553,12,12,2.8,146,19,Slammer
179,474,17,17,3,169,9,Slammer
144,336,12,12,2.5,130,13,Slammer
144,386,13,13,2.5,135,9,Slammer
120,335,14,14,2.1,117,3,Slammer
182,453,18,18,3.1,174,8,Slammer
187,588,15,15,3.2,171,16,Slammer
149,399,15,15,2.5,134,15,Slammer
129,276,13,13,2.2,113,16,Slammer
157,642,14,14,2.7,145,12,Slammer
176,747,14,14,3,165,11,Slammer
210,699,14,14,3.6,197,13,Slammer
162,559,14,14,2.8,147,15,Slammer
164,592,17,17,2.8,152,12,Slammer
136,339,16,16,2.3,121,15,Slammer
172,550,15,15,2.9,141,31,Slammer
173,447,16,16,2.9,141,32,Slammer
167,445,16,16,2.8,134,33,Slammer
193,414,15,15,3.3,146,47,Slammer
197,478,20,20,3.3,161,36,Slammer
186,536,15,15,3.2,157,29,Slammer
213,577,17,17,3.7,189,24,Slammer
164,441,11,11,2.8,142,22,Slammer
171,523,17,17,2.9,150,21,Slammer
158,434,13,13,2.7,151,7,Slammer
200,635,14,14,3.4,188,12,Slammer
155,371,18,18,2.6,134,21,Slammer
168,399,20,20,2.9,154,14,Slammer
184,601,21,21,3.1,163,21,Slammer
221,843,18,18,3.7,209,12,Slammer
133,322,10,10,2.3,123,10,Slammer
143,419,17,17,2.5,131,12,Slammer
145,299,14,14,2.5,135,10,Slammer
166,399,14,14,2.8,153,13,Slammer
154,385,12,12,2.6,145,9,Slammer
162,400,22,22,2.8,148,14,Slammer
181,537,22,22,3.1,168,13,Slammer
110,275,16,16,1.9,103,7,Slammer
147,305,12,12,2.5,134,13,Slammer
134,358,13,13,2.3,129,5,Slammer
115,233,13,13,2,101,14,Slammer
103,301,11,11,1.8,82,21,Slammer
125,361,12,12,2.2,104,21,Slammer
128,439,17,17,2.2,109,19,Slammer
89,242,12,12,1.6,75,14,Slammer
122,233,12,12,2.1,105,17,Slammer
107,209,14,14,1.9,96,11,Slammer
124,364,18,18,2.1,109,15,Slammer
187,451,22,22,3.2,170,17,Slammer
130,237,23,23,2.2,108,22,Slammer
116,317,12,12,2,95,21,Slammer
138,341,16,16,2.4,128,10,Slammer
184,550,16,16,3.2,173,10,Slammer
144,517,17,17,2.5,129,15,Slammer
132,394,16,16,2.3,118,14,Slammer
122,293,14,14,2.1,107,15,Slammer
142,450,14,14,2.5,121,21,Slammer
133,461,17,17,2.3,117,16,Slammer
194,610,16,16,3.3,183,11,Slammer
199,581,18,18,3.4,182,17,Slammer
147,390,18,18,2.5,131,16,Slammer
146,402,12,12,2.5,119,27,Slammer
162,755,15,15,2.8,141,21,Slammer
200,978,17,17,3.4,176,24,Slammer
158,546,11,11,2.7,146,11,Slammer
195,558,18,18,3.3,175,19,Slammer
212,738,18,18,3.6,189,22,Slammer
161,633,16,16,2.7,140,19,Slammer
175,426,14,14,3,152,23,Slammer
206,800,16,16,3.5,186,20,Slammer
142,541,17,17,2.4,122,19,Slammer
201,632,15,15,3.4,188,12,Slammer
181,641,13,13,3.1,162,19,Slammer
164,577,17,17,2.8,141,23,Slammer
145,451,13,13,2.5,130,14,Slammer
75,181,13,13,1.3,64,10,Slammer
130,305,17,17,2.2,121,9,Slammer
98,179,14,14,1.7,94,4,Slammer
100,214,11,11,1.7,93,7,Slammer
133,347,17,17,2.3,120,13,Slammer
119,335,17,17,2.1,106,13,Slammer
120,453,17,17,2.1,103,17,Slammer
112,318,10,10,1.9,96,16,Slammer
125,272,21,21,2.1,116,9,Slammer
117,300,17,17,2,103,14,Slammer
159,518,17,17,2.7,135,24,Slammer
185,490,14,14,3.2,163,22,Slammer
138,369,12,12,2.4,113,25,Slammer
150,464,17,17,2.6,133,17,Slammer
139,325,17,17,2.4,120,19,Slammer
129,254,18,18,2.2,121,8,Slammer
120,309,12,12,2.1,108,12,Slammer
110,273,13,13,1.9,105,5,Slammer
111,240,11,11,1.9,91,20,Slammer
193,421,13,13,3.3,176,17,Slammer
123,298,13,13,2.1,111,12,Slammer
134,343,12,12,2.3,124,10,Slammer
103,203,14,14,1.8,86,17,Slammer
123,218,14,14,2.1,115,8,Slammer
123,456,14,14,2.1,109,14,Slammer
188,581,12,12,3.2,164,24,Slammer
302,972,11,11,5.1,274,28,Slammer
154,400,17,17,2.6,139,15,Slammer
192,440,12,12,3.3,167,25,Slammer
186,403,17,17,3.2,165,21,Slammer
150,261,13,13,2.6,133,17,Slammer
163,374,14,14,2.8,141,22,Slammer
114,233,12,12,200,94,20,Slammer
130,334,14,14,2.2,106,24,Slammer
133,317,10,10,2.3,119,14,Slammer
194,485,17,17,3.3,172,22,Slammer
130,231,13,13,2.2,113,17,Slammer
168,398,13,13,2.9,149,19,Slammer
134,428,13,13,2.3,120,14,Slammer
130,293,13,13,2.2,115,15,Slammer
173,405,13,13,300,154,19,Slammer
150,376,16,16,2.5,140,10,Slammer
121,314,14,14,2.1,106,15,Slammer
144,418,21,21,2.4,119,25,Slammer
116,299,17,17,2,102,14,Slammer
114,230,13,13,2,102,12,Slammer
86,181,17,17,1.5,76,10,Slammer
96,185,14,14,1.7,90,6,Slammer
91,199,15,15,1.6,81,10,Slammer
118,262,12,12,2,107,11,Slammer
83,188,10,10,1.5,75,8,Slammer
86,177,17,17,1.5,79,7,Slammer
111,370,16,16,1.9,103,8,Slammer
106,331,16,16,1.8,97,9,Slammer
116,510,17,17,2,104,10,Slammer
105,211,12,12,1.8,97,8,Slammer
130,288,14,14,2.3,124,6,Slammer
134,361,17,17,2.3,120,14,Slammer
140,372,17,17,2.4,128,12,Slammer
130,332,17,17,2.2,112,18,Slammer
103,256,15,15,1.8,89,14,Slammer
102,222,13,13,1.8,93,9,Slammer
109,223,12,12,1.9,97,12,Slammer
104,231,21,21,1.8,91,13,Slammer
185,494,14,14,3.2,159,26,Slammer
153,545,17,17,2.6,139,14,Slammer
131,338,13,13,2.3,121,10,Slammer
131,302,17,17,2.2,120,11,Slammer
140,383,14,14,2.4,135,5,Slammer
143,616,12,12,2.5,139,4,Slammer
151,526,14,14,2.6,137,14,Slammer
109,209,13,13,1.9,104,5,Slammer
151,344,14,14,2.6,145,6,Slammer
113,272,14,14,200,104,9,Slammer
119,266,20,20,2,110,9,Slammer
117,266,19,19,2,108,9,Slammer
103,246,12,12,1.8,94,9,Slammer
112,246,16,16,1.9,102,10,Slammer
147,291,14,14,2.5,133,14,Slammer
102,245,12,12,1.8,92,10,Slammer
125,328,13,13,2.1,113,12,Slammer
138,303,11,11,2.4,125,13,Slammer
114,249,13,13,200,101,13,Slammer
111,235,12,12,1.9,99,12,Slammer
114,231,12,12,200,97,17,Slammer
142,326,13,13,2.5,125,17,Slammer
147,311,13,13,2.5,132,15,Slammer
147,307,14,14,2.5,140,7,Slammer
113,291,15,15,200,103,10,Slammer
175,518,15,15,3,164,11,Slammer
144,522,13,13,2.5,141,3,Slammer
126,395,15,15,2.2,115,11,Slammer
127,285,14,14,2.2,113,14,Slammer
122,411,14,14,2.1,107,15,Slammer
85,146,14,14,1.5,82,3,Slammer
149,391,15,15,2.5,138,11,Slammer
147,362,17,17,2.5,121,26,Slammer
112,271,13,13,1.9,101,11,Slammer
105,339,17,17,1.8,94,11,Slammer
123,259,11,11,2.1,106,17,Slammer
137,467,17,17,2.4,121,16,Slammer
138,374,19,19,2.4,120,16,Slammer
127,318,17,17,2.2,112,15,Slammer
145,362,16,16,2.5,135,10,Slammer
233,568,17,17,400,207,26,Slammer
219,409,13,13,3.7,191,28,Slammer
118,254,12,12,2,104,14,Slammer
123,239,13,13,2.1,112,11,Slammer
125,295,11,11,2.1,108,17,Slammer
121,254,11,11,2.1,108,13,Slammer
91,358,17,17,1.6,76,15,Slammer
81,271,16,16,1.4,64,17,Slammer
80,176,12,12,1.4,71,9,Slammer
105,202,13,13,1.8,94,11,Slammer
116,216,14,14,2,106,10,Slammer
73,122,17,17,1.3,66,7,Slammer
83,228,14,14,1.5,73,10,Slammer
133,225,11,11,2.3,115,18,Slammer
94,164,12,12,1.6,87,7,Slammer
94,280,13,13,1.6,83,11,Slammer
113,244,16,16,2,96,17,Slammer
86,185,13,13,1.5,67,19,Slammer
119,348,17,17,2,103,16,Slammer
110,404,15,15,1.9,100,10,Slammer
146,453,16,16,2.5,127,19,Slammer
127,359,20,20,2.2,106,21,Slammer
125,326,21,21,2.2,107,18,Slammer
125,325,13,13,2.2,96,29,Slammer
120,316,18,18,2.1,105,15,Slammer
128,294,18,18,2.2,114,14,Slammer
124,337,16,16,2.1,110,14,Slammer
77,165,17,17,1.3,69,8,Slammer
84,146,11,11,1.4,80,4,Slammer
128,338,17,17,2.2,118,10,Slammer
75,142,16,16,1.3,67,8,Slammer
114,213,17,17,200,105,9,Slammer
88,154,12,12,1.5,77,11,Slammer
135,277,12,12,2.3,122,13,Slammer
86,191,15,15,1.5,74,12,Slammer
176,446,16,16,3,163,13,Slammer
155,503,11,11,2.6,138,17,Slammer
135,364,12,12,2.3,125,10,Slammer
65,201,12,12,1.2,58,7,Slammer
116,358,13,13,2,109,7,Slammer
77,289,10,10,1.3,68,9,Slammer
127,386,13,13,2.2,115,12,Slammer
94,250,13,13,1.6,87,7,Slammer
115,266,13,13,2,102,13,Slammer
101,428,15,15,1.8,76,25,Slammer
103,363,17,17,1.8,90,13,Slammer
85,328,15,15,1.5,77,8,Slammer
94,254,14,14,1.6,83,11,Slammer
57,125,14,14,1,53,4,Slammer
99,215,14,14,1.7,90,9,Slammer
127,246,15,15,2.2,119,8,Slammer
94,172,11,11,1.6,82,12,Slammer
75,129,9,9,1.3,64,11,Slammer
96,216,10,10,1.7,82,14,Slammer
86,212,11,11,1.5,76,10,Slammer
91,190,12,12,1.6,79,12,Slammer
71,193,8,8,1.2,60,11,Slammer
134,260,13,13,2.3,124,10,Slammer
157,459,12,12,2.7,141,16,Slammer
118,293,11,11,2,114,4,Slammer
170,388,13,13,2.9,159,11,Slammer
90,172,12,12,1.6,79,11,Slammer
81,220,12,12,1.4,70,11,Slammer
88,169,12,12,1.5,79,9,Slammer
88,185,11,11,1.5,75,13,Slammer
100,236,12,12,1.7,88,12,Slammer
88,195,12,12,1.5,81,7,Slammer
80,166,10,10,1.4,71,9,Slammer
57,110,8,8,1,47,10,Slammer
100,297,14,14,1.7,89,11,Slammer
111,226,15,15,1.9,107,4,Slammer
83,218,12,12,1.4,75,8,Slammer
120,449,14,14,2.1,105,15,Slammer
100,307,11,11,1.7,88,12,Slammer
112,240,16,16,1.9,96,16,Slammer
140,244,20,20,2.4,122,18,Slammer
139,328,20,20,2.4,128,11,Slammer
124,273,15,15,2.1,102,22,Slammer
115,282,18,18,200,96,19,Slammer
92,202,15,15,1.6,75,17,Slammer
73,122,12,12,1.3,68,5,Slammer
98,221,10,10,1.7,89,9,Slammer
122,306,11,11,2.1,102,20,Slammer
111,311,11,11,1.9,97,14,Slammer
150,365,16,16,2.6,130,20,Slammer
131,414,14,14,2.2,111,20,Slammer
155,565,12,12,2.6,141,14,Slammer
159,518,14,14,2.7,149,10,Slammer
113,179,13,13,1.9,106,7,Slammer
136,328,14,14,2.3,115,21,Slammer
101,401,18,18,1.8,91,10,Slammer
143,640,19,19,2.5,127,16,Slammer
122,275,17,17,2.1,115,7,Slammer
179,461,16,16,3.1,163,16,Slammer
92,164,13,13,1.6,78,14,Slammer
99,258,12,12,1.7,91,8,Slammer
108,317,12,12,1.9,87,19,Slammer
130,328,14,14,2.2,115,15,Slammer
117,248,14,14,2,107,10,Slammer
100,166,12,12,1.7,95,5,Slammer
158,450,14,14,2.7,144,14,Slammer
88,206,10,10,1.5,84,4,Slammer
64,108,19,19,1.1,61,3,Slammer
71,209,14,14,1.2,67,4,Slammer
101,295,10,10,1.7,95,6,Slammer
88,236,12,12,1.5,78,10,Slammer
98,245,12,12,1.7,91,7,Slammer
129,277,12,12,2.2,119,10,Slammer
80,151,12,12,1.4,73,7,Slammer
80,162,19,19,1.4,76,4,Slammer
99,215,12,12,1.7,92,7,Slammer
99,213,13,13,1.7,95,4,Slammer
99,201,17,17,1.7,96,3,Slammer
84,215,16,16,1.5,77,7,Slammer
61,124,7,7,1.1,58,3,Slammer
88,207,10,12,1.5,77,11,Slammer
119,257,16,16,2.1,103,16,Slammer
110,358,12,12,1.9,99,11,Slammer
86,272,12,12,1.5,79,7,Slammer
103,207,12,12,1.8,88,15,Normal
77,150,12,12,1.3,57,20,Normal
48,85,12,12,0.8,38,10,Normal
56,114,13,13,1,53,3,Normal
103,196,12,12,1.8,91,12,Normal
142,268,13,13,2.4,131,11,Normal
97,200,16,16,1.7,86,11,Normal
104,218,18,18,1.8,95,9,Normal
107,321,18,18,1.8,95,12,Normal
133,333,13,13,2.3,125,8,Normal
108,252,16,16,1.9,88,20,Normal
130,347,16,16,2.2,115,15,Normal
139,294,14,14,2.4,130,9,Normal
96,421,14,14,1.7,88,8,Normal
91,153,15,15,1.6,85,6,Normal
75,189,14,14,1.3,72,3,Normal
72,156,12,12,1.3,60,12,Normal
110,262,16,16,1.9,92,18,Normal
123,249,12,12,2.1,100,23,Normal
103,223,17,17,1.8,87,16,Normal
63,129,12,12,1.1,52,11,Normal
66,139,13,13,1.2,60,6,Normal
61,136,13,13,1.1,54,7,Normal
97,232,12,12,1.6,87,10,Normal
83,211,17,17,1.4,77,6,Normal
71,198,17,17,1.2,67,4,Normal
96,180,13,13,1.7,84,12,Normal
90,186,11,11,1.5,82,8,Normal
140,393,13,13,2.4,130,8,Normal
70,179,11,11,1.2,65,5,Normal
96,280,14,14,1.6,86,10,Normal
66,203,14,14,1.2,57,9,Normal
69,128,13,13,1.2,60,7,Normal
68,130,16,16,1.2,57,11,Normal
106,239,16,16,1.8,90,16,Normal
83,229,16,16,1.5,69,14,Normal
77,222,13,13,1.3,68,9,Normal
96,201,15,15,1.7,83,13,Normal
101,196,15,15,1.7,82,19,Normal
132,370,19,19,2.3,94,38,Normal
81,252,17,17,1.4,53,27,Normal
105,238,11,11,1.8,87,16,Normal
98,279,16,16,1.7,85,13,Normal
111,234,16,16,1.9,87,24,Normal
116,418,17,17,2,102,14,Normal
115,227,10,10,200,100,15,Normal
126,233,15,15,2.2,95,30,Normal
107,341,17,17,1.8,95,12,Normal
118,235,14,14,2.1,105,13,Normal
93,208,12,12,1.6,78,15,Normal
72,145,13,13,1.2,61,11,Normal
68,157,11,11,1.2,64,4,Normal
68,140,9,9,1.2,66,2,Normal
90,150,12,12,1.6,71,19,Normal
69,215,12,12,1.2,56,13,Normal
91,272,13,13,1.6,76,15,Normal
76,162,10,10,1.3,58,18,Normal
91,255,13,13,1.6,79,12,Normal
79,202,14,14,1.4,66,13,Normal
57,120,13,13,1,47,10,Normal
75,142,12,12,1.3,64,11,Normal
74,162,13,13,1.3,64,10,Normal
82,260,12,12,1.4,65,17,Normal
68,142,13,13,1.2,49,19,Normal
81,134,13,13,1.5,72,9,Normal
93,154,13,13,1.6,86,7,Normal
114,236,13,13,200,104,10,Normal
144,303,11,11,2.5,130,14,Normal
60,112,12,12,1,50,10,Normal
